OCT 114;OCT 315;OCT 315;OCT 315;OCT 315;OCT 315;OCT 315;OCT 315;OCT 315;OCT 014;OCT 000;OCT 000;OCT 000;OCT 015;OCT 000;OCT 215;OCT 000;OCT 000;OCT 000;OCT 114;OCT 315;OCT 315;OCT 315;OCT 315;OCT 014;OCT 114;OCT 315;OCT 315;OCT 315;OCT 315;OCT 014;HEX 0
OCT 015;OCT 001;OCT 001;OCT 002;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;OCT 000;OCT 000;OCT 000;OCT 015;OCT 000;OCT 215;OCT 000;OCT 000;OCT 000;OCT 015;OCT 001;OCT 001;OCT 001;OCT 002;OCT 215;OCT 015;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 113;OCT 115;OCT 013;OCT 001;OCT 113;OCT 013;OCT 001;OCT 215;OCT 000;OCT 000;OCT 000;OCT 015;OCT 000;OCT 215;OCT 000;OCT 000;OCT 000;OCT 015;OCT 001;OCT 113;OCT 013;OCT 001;OCT 213;OCT 313;OCT 001;OCT 113;OCT 013;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 215;OCT 000;OCT 015;OCT 001;OCT 215;OCT 015;OCT 001;OCT 215;OCT 000;OCT 000;OCT 000;OCT 015;OCT 000;OCT 215;OCT 000;OCT 000;OCT 000;OCT 015;OCT 001;OCT 215;OCT 015;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;OCT 015;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 215;OCT 000;OCT 015;OCT 001;OCT 215;OCT 015;OCT 001;OCT 215;OCT 000;OCT 000;OCT 000;OCT 015;OCT 000;OCT 215;OCT 000;OCT 000;OCT 000;OCT 015;OCT 001;OCT 215;OCT 214;OCT 115;OCT 115;OCT 013;OCT 001;OCT 215;OCT 015;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 213;OCT 315;OCT 313;OCT 001;OCT 213;OCT 313;OCT 001;OCT 213;OCT 315;OCT 315;OCT 315;OCT 313;OCT 000;OCT 213;OCT 315;OCT 315;OCT 315;OCT 313;OCT 001;OCT 213;OCT 315;OCT 315;OCT 315;OCT 313;OCT 001;OCT 215;OCT 015;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;OCT 015;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 113;OCT 115;OCT 013;OCT 001;OCT 113;OCT 115;OCT 115;OCT 115;OCT 115;OCT 115;OCT 115;OCT 013;OCT 000;OCT 113;OCT 115;OCT 115;OCT 115;OCT 013;OCT 001;OCT 113;OCT 013;OCT 001;OCT 113;OCT 115;OCT 115;OCT 314;OCT 015;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 215;OCT 000;OCT 015;OCT 001;OCT 213;OCT 315;OCT 315;OCT 014;OCT 114;OCT 315;OCT 315;OCT 313;OCT 000;OCT 213;OCT 315;OCT 315;OCT 315;OCT 313;OCT 001;OCT 215;OCT 015;OCT 001;OCT 213;OCT 315;OCT 315;OCT 014;OCT 015;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 215;OCT 000;OCT 015;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;OCT 015;OCT 000;OCT 000;OCT 000;OCT 000;OCT 000;OCT 000;OCT 000;OCT 000;OCT 000;OCT 001;OCT 215;OCT 015;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;OCT 015;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 215;OCT 000;OCT 015;OCT 001;OCT 113;OCT 013;OCT 001;OCT 215;OCT 015;OCT 000;OCT 117;OCT 116;OCT 116;OCT 116;OCT 017;OCT 000;OCT 113;OCT 013;OCT 001;OCT 215;OCT 015;OCT 001;OCT 113;OCT 013;OCT 001;OCT 215;OCT 015;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 213;OCT 315;OCT 313;OCT 001;OCT 215;OCT 015;OCT 001;OCT 213;OCT 313;OCT 000;OCT 216;OCT 000;OCT 000;OCT 000;OCT 016;OCT 000;OCT 215;OCT 015;OCT 001;OCT 213;OCT 313;OCT 001;OCT 215;OCT 015;OCT 001;OCT 213;OCT 313;OCT 001;OCT 215;HEX 0
OCT 015;OCT 001;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;OCT 015;OCT 001;OCT 000;OCT 000;OCT 000;OCT 216;OCT 000;OCT 000;OCT 000;OCT 016;OCT 000;OCT 215;OCT 015;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;OCT 015;OCT 001;OCT 001;OCT 001;OCT 001;OCT 215;HEX 0
OCT 214;OCT 115;OCT 115;OCT 115;OCT 013;OCT 001;OCT 215;OCT 214;OCT 115;OCT 115;OCT 013;OCT 000;OCT 111;OCT 000;OCT 000;OCT 000;OCT 016;OCT 000;OCT 215;OCT 214;OCT 115;OCT 115;OCT 013;OCT 000;OCT 215;OCT 214;OCT 115;OCT 115;OCT 013;OCT 001;OCT 215;HEX 0
OCT 114;OCT 315;OCT 315;OCT 315;OCT 313;OCT 001;OCT 215;OCT 114;OCT 315;OCT 315;OCT 313;OCT 000;OCT 111;OCT 000;OCT 000;OCT 000;OCT 016;OCT 000;OCT 215;OCT 114;OCT 315;OCT 315;OCT 313;OCT 000;OCT 215;OCT 114;OCT 315;OCT 315;OCT 313;OCT 001;OCT 215;HEX 0
